date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2025-06-13,265.6875,81.06666666666666,570.0416666666666,19.941666666666666,12.637500000000001,130.79166666666666,0.7958333333333334,374.9583333333333,1.6770833333333333,138.04166666666666,99.20833333333333
2025-06-14,470.6041666666667,114.07083333333333,613.1666666666666,18.6125,14.991666666666667,146.125,1.28125,715.5,1.28125,305.3333333333333,210.625
2025-06-15,228.48333333333335,79.19166666666666,673.7083333333334,27.554166666666664,16.858333333333334,131.08333333333334,1.21625,300.4166666666667,1.09375,201.16666666666666,159.375
2025-06-16,244.47916666666666,97.97916666666667,662.4166666666666,28.629166666666666,20.60833333333333,136.91666666666666,1.1525,298.5,0.5854166666666667,171.41666666666666,138.25
2025-06-17,128.8125,65.66250000000001,616.5,25.575,13.970833333333333,119.54166666666667,0.7333333333333334,123.54166666666667,1.8499999999999999,170.125,122.29166666666667
2025-06-18,122.30416666666667,47.62916666666666,703.0833333333334,17.575,10.166666666666666,140.20833333333334,0.7395833333333334,156.75,2.0625,151.91666666666666,80.625
2025-06-19,183.64583333333334,68.41666666666667,546.4166666666666,14.637500000000001,12.933333333333332,148.08333333333334,1.3724999999999998,230.91666666666666,1.3645833333333333,159.58333333333334,104.79166666666667
2025-06-20,246.65,74.57083333333334,440.4166666666667,13.458333333333334,12.933333333333332,143.95833333333334,1.6358333333333333,348.9166666666667,0.775,163.70833333333334,123.83333333333333
2025-06-21,284.7583333333333,74.75833333333334,394.0833333333333,13.254166666666668,11.5,134.83333333333334,1.4241666666666666,404.25,1.40625,177.5,162.75
2025-06-22,160.5375,63.93333333333334,505.5833333333333,21.754166666666666,10.7125,101.41666666666667,1.4574999999999998,188.5,0.6666666666666666,155.25,115.33333333333333
2025-06-23,136.17499999999998,62.55833333333334,498.2083333333333,18.866666666666667,10.012500000000001,131.20833333333334,1.2208333333333334,145.45833333333334,1.66875,161.375,96.95833333333333
2025-06-24,185.025,71.66250000000001,472.4583333333333,13.204166666666666,12.275,149.0,1.4354166666666668,226.58333333333334,1.4166666666666667,163.45833333333334,105.41666666666667
2025-06-25,93.52499999999999,39.9625,488.3333333333333,14.570833333333333,7.020833333333333,111.625,1.4574999999999998,103.16666666666667,0.81875,147.375,101.08333333333333
2025-06-26,54.291666666666664,40.145833333333336,759.8333333333334,25.179166666666664,10.883333333333333,101.41666666666667,1.1804166666666667,28.875,0.7104166666666667,98.0,67.91666666666667
2025-06-27,68.39999999999999,47.050000000000004,822.7083333333334,37.387499999999996,13.941666666666668,87.70833333333333,0.9179166666666667,42.666666666666664,1.40625,126.25,76.58333333333333
2025-06-28,151.28333333333333,60.3375,819.1666666666666,31.358333333333334,14.579166666666666,108.83333333333333,1.0095833333333333,180.79166666666666,1.6020833333333335,142.125,83.83333333333333
2025-06-29,86.51666666666667,48.82083333333333,521.6666666666666,19.325,11.0625,130.08333333333334,1.4533333333333334,76.375,1.2166666666666666,159.70833333333334,94.66666666666667
2025-06-30,81.57083333333334,42.300000000000004,487.4583333333333,18.4875,9.541666666666666,122.75,1.0508333333333333,80.83333333333333,1.41875,135.04166666666666,75.29166666666667
2025-07-01,77.925,37.00416666666667,427.0833333333333,17.587500000000002,8.9125,100.75,0.9750000000000001,78.08333333333333,1.1375,117.33333333333333,74.04166666666667
2025-07-02,83.25,39.80833333333333,551.5833333333334,26.679166666666664,9.866666666666667,101.25,0.8441666666666667,83.66666666666667,1.9916666666666665,110.91666666666667,72.04166666666667
2025-07-03,123.90833333333335,50.916666666666664,598.0,24.333333333333332,10.379166666666666,107.20833333333333,0.9674999999999999,146.25,1.6624999999999999,130.875,84.875
2025-07-04,95.71249999999999,50.54583333333333,566.2916666666666,27.354166666666668,13.416666666666666,118.04166666666667,1.01,90.95833333333333,1.76875,143.66666666666666,80.16666666666667
2025-07-05,109.72916666666667,55.49583333333334,603.5833333333334,22.6125,11.4125,130.08333333333334,1.3641666666666667,109.95833333333333,1.4770833333333335,156.04166666666666,84.45833333333333
2025-07-06,117.97083333333335,58.69583333333333,660.7083333333334,33.6625,11.083333333333334,96.75,1.33125,119.29166666666667,0.9958333333333332,152.20833333333334,88.91666666666667
2025-07-07,112.66666666666667,52.375,741.0,26.495833333333334,10.841666666666667,106.91666666666667,1.09375,119.08333333333333,1.4833333333333334,147.08333333333334,84.16666666666667
2025-07-08,75.23333333333333,52.09166666666667,818.4583333333334,36.1,12.637500000000001,96.08333333333333,1.0933333333333333,44.708333333333336,1.2249999999999999,138.75,81.83333333333333
2025-07-09,71.1875,46.99166666666667,622.1666666666666,30.9375,11.15,98.66666666666667,1.16875,48.208333333333336,1.2354166666666666,148.08333333333334,84.5
2025-07-10,42.208333333333336,30.366666666666664,377.625,23.1875,6.566666666666666,78.91666666666667,0.87,23.333333333333332,0.5479166666666667,97.375,67.20833333333333
2025-07-11,61.6625,54.70416666666667,702.6666666666666,38.645833333333336,14.995833333333332,97.29166666666667,0.84375,14.041666666666666,1.6937499999999999,115.25,71.79166666666667
2025-07-12,163.5,80.97083333333333,674.625,45.42916666666667,15.104166666666666,114.20833333333333,1.0083333333333333,166.04166666666666,1.6895833333333332,169.875,100.79166666666667
2025-07-13,61.85,53.333333333333336,1108.7916666666667,39.0,12.145833333333334,74.625,0.74375,16.625,1.1166666666666667,155.58333333333334,93.70833333333333
2025-07-14,43.65,41.891666666666666,1026.6666666666667,34.0625,8.35,75.25,0.4895833333333333,3.125,1.08125,131.25,78.41666666666667
2025-07-15,34.675000000000004,32.516666666666666,623.625,22.775000000000002,7.245833333333334,89.45833333333333,0.7687499999999999,3.875,1.7750000000000001,99.58333333333333,66.45833333333333
2025-07-16,41.833333333333336,35.074999999999996,445.4583333333333,20.329166666666666,7.520833333333333,91.16666666666667,0.86375,13.041666666666666,0.8395833333333332,100.70833333333333,68.5
2025-07-17,92.65416666666665,54.99166666666667,538.375,20.287499999999998,9.854166666666666,105.25,0.89125,72.29166666666667,0.9166666666666666,121.25,75.16666666666667
2025-07-18,77.0625,62.38333333333333,985.1666666666666,38.300000000000004,14.783333333333333,96.375,0.8279166666666667,28.416666666666668,1.40625,151.20833333333334,84.91666666666667
2025-07-19,104.12083333333334,70.16250000000001,1330.2916666666667,47.68333333333334,12.158333333333333,93.83333333333333,0.595,67.91666666666667,2.2916666666666665,161.25,100.29166666666667
2025-07-20,363.5208333333333,86.0625,667.0833333333334,29.208333333333332,9.470833333333333,94.79166666666667,0.7920833333333334,551.6666666666666,1.6854166666666668,198.20833333333334,161.125
2025-07-21,60.96666666666667,35.47083333333333,574.9166666666666,26.079166666666666,10.012500000000001,77.79166666666667,0.7283333333333334,49.791666666666664,0.7604166666666666,132.66666666666666,101.41666666666667
2025-07-22,67.51666666666667,47.237500000000004,500.7083333333333,21.420833333333334,8.200000000000001,97.5,0.9658333333333333,40.416666666666664,1.3270833333333334,112.83333333333333,72.41666666666667
2025-07-23,83.07083333333334,48.9,821.0833333333334,31.308333333333334,9.012500000000001,88.75,1.0566666666666666,65.33333333333333,0.9500000000000001,132.54166666666666,78.79166666666667
2025-07-24,78.08333333333333,51.69166666666666,1060.5833333333333,41.71666666666667,12.083333333333334,78.08333333333333,0.9979166666666667,53.666666666666664,0.7854166666666668,140.54166666666666,81.33333333333333
2025-07-25,88.53333333333335,56.3125,1418.5416666666667,48.237500000000004,12.266666666666666,80.91666666666667,0.9666666666666667,64.54166666666667,1.0958333333333334,132.33333333333334,78.29166666666667
2025-07-26,83.72916666666667,70.52916666666667,1429.75,63.25,12.354166666666666,94.58333333333333,0.8566666666666666,26.541666666666668,1.4604166666666665,161.58333333333334,97.75
2025-07-27,76.47083333333333,68.2625,998.5,56.725,13.025,102.875,0.8341666666666666,16.5,2.01875,163.08333333333334,92.25
2025-07-28,104.12083333333334,74.70833333333333,1024.7083333333333,43.916666666666664,12.404166666666667,104.54166666666667,1.1895833333333334,59.333333333333336,1.3979166666666665,162.54166666666666,96.79166666666667
2025-07-29,96.32083333333333,47.56666666666666,542.0416666666666,17.8125,6.958333333333333,113.08333333333333,1.05375,97.625,1.3541666666666667,153.0,90.5
2025-07-30,114.39166666666667,51.762499999999996,464.625,21.616666666666664,9.487499999999999,103.125,1.01,122.70833333333333,1.5687499999999999,136.75,90.66666666666667
2025-07-31,39.74166666666667,37.604166666666664,500.8333333333333,22.59583333333333,10.975,72.0,0.6570833333333334,4.208333333333333,1.1666666666666667,125.33333333333333,76.79166666666667
2025-08-01,45.73333333333333,45.2875,747.1666666666666,26.016666666666666,13.325000000000001,67.125,0.6191666666666666,0.6666666666666666,0.53125,108.41666666666667,71.25
2025-08-02,48.0,46.9125,851.3333333333334,41.15,9.625,81.41666666666667,0.6758333333333333,2.1666666666666665,1.5250000000000001,127.20833333333333,76.58333333333333
2025-08-03,107.71666666666665,74.95,681.5,45.85,13.416666666666666,102.66666666666667,0.8975,65.79166666666667,1.3270833333333334,155.95833333333334,90.70833333333333
2025-08-04,91.28333333333335,48.99583333333334,667.8333333333334,21.0125,8.9,120.58333333333333,0.8275,83.04166666666667,1.7062499999999998,151.95833333333334,87.33333333333333
2025-08-05,112.72500000000001,50.12916666666666,472.0833333333333,17.841666666666665,7.9875,96.91666666666667,0.7470833333333333,121.45833333333333,1.8458333333333332,134.125,80.5
2025-08-06,138.62916666666666,59.72083333333333,615.625,22.691666666666666,9.825000000000001,101.91666666666667,0.82125,154.04166666666666,1.8041666666666665,143.125,88.375
2025-08-07,135.39583333333334,67.96666666666667,673.4166666666666,37.229166666666664,11.341666666666667,97.33333333333333,0.7229166666666668,131.5,1.8458333333333332,159.58333333333334,99.625
2025-08-08,100.6125,54.07916666666667,600.4583333333334,31.5125,10.691666666666668,97.70833333333333,0.6341666666666667,89.58333333333333,1.9041666666666668,157.625,90.83333333333333
2025-08-09,135.3375,61.824999999999996,700.2916666666666,29.583333333333332,12.279166666666667,104.5,0.7641666666666667,141.41666666666666,1.7874999999999999,147.95833333333334,83.875
